student_id,student_name,class_id,sex,dob,email,attendance
S0046,Mony Chan,11A,Male,11/7/2005,mony.chan46@school.edu.kh,156
S0047,Vuthy Keo,11A,Male,12/28/2006,vuthy.keo47@school.edu.kh,169
S0048,Bopha Chan,11A,Female,3/26/2004,bopha.chan48@school.edu.kh,159
S0049,Sreyleak Chan,11A,Female,1/14/2008,sreyleak.chan49@school.edu.kh,160
S0050,Kimly Pich,11A,Female,7/21/2008,kimly.pich50@school.edu.kh,171
S0051,Vanna Sok,11A,Female,2/11/2007,vanna.sok51@school.edu.kh,156
S0052,Sreyleak Sok,11A,Female,5/18/2005,sreyleak.sok52@school.edu.kh,148
S0053,Vuthy Chan,11A,Male,2/21/2007,vuthy.chan53@school.edu.kh,149
S0054,Mony Kong,11A,Male,2/9/2005,mony.kong54@school.edu.kh,166
S0055,Vanna Pen,11A,Female,6/18/2006,vanna.pen55@school.edu.kh,174
S0056,Chenda Sorn,11A,Female,8/2/2005,chenda.sorn56@school.edu.kh,148
S0057,Sokha Pen,11A,Male,6/20/2006,sokha.pen57@school.edu.kh,165
S0058,Bopha Lim,11A,Male,7/4/2004,bopha.lim58@school.edu.kh,180
S0059,Bopha Lim,11A,Female,7/19/2008,bopha.lim59@school.edu.kh,151
S0060,Sreyleak Keo,11A,Female,8/10/2004,sreyleak.keo60@school.edu.kh,174
S0061,Vuthy Sorn,11B,Male,6/19/2008,vuthy.sorn61@school.edu.kh,158
S0062,Kimly Lim,11B,Female,6/8/2008,kimly.lim62@school.edu.kh,180
S0063,Sokha Keo,11B,Male,12/14/2006,sokha.keo63@school.edu.kh,151
S0064,Seyha Chan,11B,Male,4/28/2005,seyha.chan64@school.edu.kh,165
S0065,Channary Lim,11B,Female,1/20/2007,channary.lim65@school.edu.kh,175
S0066,Channary Chan,11B,Female,9/5/2005,channary.chan66@school.edu.kh,164
S0067,Chan Lim,11B,Male,8/8/2007,chan.lim67@school.edu.kh,163
S0068,Mony Sok,11B,Male,6/8/2004,mony.sok68@school.edu.kh,148
S0069,Rith Kong,11B,Male,3/4/2006,rith.kong69@school.edu.kh,141
S0070,Sokha Pen,11B,Male,6/17/2007,sokha.pen70@school.edu.kh,177
S0071,Chenda Chan,11B,Female,12/15/2007,chenda.chan71@school.edu.kh,144
S0072,Sreyleak Kong,11B,Female,7/4/2008,sreyleak.kong72@school.edu.kh,147
S0073,Chan Sorn,11B,Male,11/9/2006,chan.sorn73@school.edu.kh,163
S0074,Mony Kong,11B,Male,6/22/2008,mony.kong74@school.edu.kh,147
S0075,Seyha Lim,11B,Male,6/28/2004,seyha.lim75@school.edu.kh,175
S0076,Sreymom Pich,11B,Female,12/25/2006,sreymom.pich76@school.edu.kh,159
S0077,Pich Sorn,11B,Male,6/6/2007,pich.sorn77@school.edu.kh,163
S0078,Sreyleak Sorn,11B,Female,10/15/2007,sreyleak.sorn78@school.edu.kh,166
S0079,Pisey Sok,11B,Female,4/10/2004,pisey.sok79@school.edu.kh,153
S0080,Virak Kong,11B,Male,2/13/2006,virak.kong80@school.edu.kh,142
S0081,Sreymom Heng,12A,Female,10/15/2005,sreymom.heng81@school.edu.kh,163
S0082,Sokha Kong,12A,Male,9/17/2004,sokha.kong82@school.edu.kh,152
S0083,Rith Pen,12A,Male,10/25/2007,rith.pen83@school.edu.kh,177
S0084,Kimly Yim,12A,Female,6/17/2004,kimly.yim84@school.edu.kh,144
S0085,Sreyleak Yim,12A,Female,12/2/2008,sreyleak.yim85@school.edu.kh,168
S0086,Dara Lim,12A,Male,8/17/2007,dara.lim86@school.edu.kh,173
S0087,Virak Sorn,12A,Male,5/24/2006,virak.sorn87@school.edu.kh,178
S0088,Navy Pich,12A,Female,2/21/2008,navy.pich88@school.edu.kh,167
S0089,Channary Kong,12A,Female,12/17/2008,channary.kong89@school.edu.kh,142
S0090,Sreymom Sorn,12A,Female,11/24/2006,sreymom.sorn90@school.edu.kh,155
S0091,Sreyleak Keo,12A,Female,9/17/2007,sreyleak.keo91@school.edu.kh,166
S0092,Channary Pich,12A,Female,8/17/2006,channary.pich92@school.edu.kh,149
S0093,Chan Lim,12A,Male,6/4/2004,chan.lim93@school.edu.kh,161
S0094,Sothea Pich,12A,Female,12/20/2008,sothea.pich94@school.edu.kh,173
S0095,Pisey Kong,12A,Female,11/17/2004,pisey.kong95@school.edu.kh,176
S0096,Virak Heng,12A,Male,9/18/2004,virak.heng96@school.edu.kh,172
S0097,Sothea Chan,12A,Female,12/25/2008,sothea.chan97@school.edu.kh,161
S0098,Seyha Sok,12A,Male,4/2/2006,seyha.sok98@school.edu.kh,152
S0099,Chan Keo,12A,Male,6/14/2004,chan.keo99@school.edu.kh,165
S0100,Channary Sorn,12A,Female,3/18/2008,channary.sorn100@school.edu.kh,158
S0101,Sreyleak Sok,12B,Female,10/14/2006,sreyleak.sok101@school.edu.kh,157
S0102,Rith Chan,12B,Male,11/12/2005,rith.chan102@school.edu.kh,163
S0103,Chenda Heng,12B,Female,4/4/2006,chenda.heng103@school.edu.kh,141
S0104,Sothea Chan,12B,Female,2/15/2005,sothea.chan104@school.edu.kh,151
S0105,Chan Kong,12B,Male,2/7/2005,chan.kong105@school.edu.kh,148
S0106,Sreyleak Kong,12B,Female,7/27/2007,sreyleak.kong106@school.edu.kh,176
S0107,Rith Sorn,12B,Male,1/27/2008,rith.sorn107@school.edu.kh,147
S0108,Bopha Keo,12B,Female,9/3/2008,bopha.keo108@school.edu.kh,172
S0109,Dara Yim,12B,Male,11/7/2006,dara.yim109@school.edu.kh,176
S0110,Dara Pich,12B,Male,7/16/2007,dara.pich110@school.edu.kh,169
S0111,Sothea Pen,12B,Female,5/15/2004,sothea.pen111@school.edu.kh,155
S0112,Rith Pen,12B,Male,8/16/2008,rith.pen112@school.edu.kh,159
S0113,Kimly Kong,12B,Female,2/14/2004,kimly.kong113@school.edu.kh,148
S0114,Channary Sorn,12B,Female,8/25/2008,channary.sorn114@school.edu.kh,175
S0115,Vanna Sok,12B,Female,1/5/2004,vanna.sok115@school.edu.kh,161
S0116,Pisey Heng,12B,Female,9/18/2008,pisey.heng116@school.edu.kh,171
S0117,Mony Pen,12B,Male,11/26/2006,mony.pen117@school.edu.kh,177
S0118,Dara Yim,12B,Male,4/1/2004,dara.yim118@school.edu.kh,168
S0119,Virak Heng,12B,Male,9/13/2007,virak.heng119@school.edu.kh,160
S0120,Sothea Keo,12B,Female,12/7/2006,sothea.keo120@school.edu.kh,171
