student_id,student_name,class_id,sex,dob,email,attendance
STU00027,Phat Borath,CLS0098,M,2009-07-26,stu00027@school.edu.kh,96.1
STU00028,Heng Dara,CLS0151,M,2012-04-24,stu00028@school.edu.kh,91.7
STU00029,Seang Dina,CLS0214,F,2011-12-24,stu00029@school.edu.kh,90.5
STU00030,Lim Sreymab,CLS0328,F,2010-11-12,stu00030@school.edu.kh,62.8
STU00031,Touch Nara,CLS0383,M,2011-02-14,stu00031@school.edu.kh,63.8
STU00032,Noun Phary,CLS0026,M,2014-03-05,stu00032@school.edu.kh,73.0
STU00033,Ros Sarath,CLS0413,M,2012-08-07,stu00033@school.edu.kh,69.1
STU00034,Meas Theara,CLS0165,M,2006-12-19,stu00034@school.edu.kh,69.1
STU00035,Kong Kimhour,CLS0464,M,2011-08-27,stu00035@school.edu.kh,99.6
STU00036,Chou Channary,CLS0133,F,2010-12-12,stu00036@school.edu.kh,81.8
STU00037,Nhem Channary,CLS0327,F,2013-02-17,stu00037@school.edu.kh,70.7
STU00038,Phan Rithy,CLS0199,M,2011-01-04,stu00038@school.edu.kh,75.7
STU00039,Chhun Dara,CLS0156,M,2012-10-25,stu00039@school.edu.kh,75.3
STU00040,Chou Sreypov,CLS0360,F,2012-03-14,stu00040@school.edu.kh,95.3
STU00041,Seang Makara,CLS0019,M,2008-05-18,stu00041@school.edu.kh,69.2
STU00042,Tep Chanthy,CLS0203,F,2013-07-23,stu00042@school.edu.kh,65.3
STU00043,Nget Chanpich,CLS0491,F,2013-02-19,stu00043@school.edu.kh,69.4
STU00044,Mouk Rathana,CLS0479,M,2011-08-08,stu00044@school.edu.kh,91.3
STU00045,Oun Theara,CLS0206,M,2006-05-14,stu00045@school.edu.kh,70.7
STU00046,Chea Daro,CLS0411,M,2012-01-05,stu00046@school.edu.kh,67.3
STU00047,Him Rathana,CLS0011,M,2007-05-26,stu00047@school.edu.kh,63.3
STU00048,Lim Reaksmey,CLS0055,F,2010-10-29,stu00048@school.edu.kh,92.7
STU00049,Vong Reaksmey,CLS0003,F,2012-05-13,stu00049@school.edu.kh,90.4
STU00050,Touch Dina,CLS0086,F,2009-10-27,stu00050@school.edu.kh,73.2
STU00051,Sorn Sopheak,CLS0411,M,2013-12-16,stu00051@school.edu.kh,67.2
STU00052,Khmer Kanha,CLS0177,F,2006-06-19,stu00052@school.edu.kh,64.8
STU00053,Sorn Chantrea,CLS0358,F,2006-09-07,stu00053@school.edu.kh,80.4
STU00054,Mao Chanreaksmey,CLS0028,M,2010-09-06,stu00054@school.edu.kh,64.5
STU00055,Kong Phirun,CLS0326,M,2009-07-13,stu00055@school.edu.kh,61.5
STU00056,Vong Sokun,CLS0231,M,2012-07-13,stu00056@school.edu.kh,96.1
STU00057,Ear Samnang,CLS0449,M,2010-07-25,stu00057@school.edu.kh,72.2
STU00058,Nget Piseth,CLS0449,M,2007-03-15,stu00058@school.edu.kh,95.2
STU00059,Mao Daro,CLS0153,M,2010-11-10,stu00059@school.edu.kh,96.5
STU00060,Sorn Sreytouch,CLS0212,F,2013-01-15,stu00060@school.edu.kh,85.9
STU00061,Chhun Piseth,CLS0331,M,2010-03-27,stu00061@school.edu.kh,92.4
STU00062,Prum Chantrea,CLS0410,F,2008-09-29,stu00062@school.edu.kh,93.2
STU00063,Touch Channary,CLS0413,F,2011-10-02,stu00063@school.edu.kh,78.0
STU00064,Noun Channary,CLS0473,F,2010-12-24,stu00064@school.edu.kh,86.2
STU00065,Nhem Lina,CLS0021,F,2006-12-11,stu00065@school.edu.kh,86.8
STU00066,Ith Chanreaksmey,CLS0056,F,2013-11-12,stu00066@school.edu.kh,65.5
STU00067,Saom Phirun,CLS0494,M,2013-05-05,stu00067@school.edu.kh,72.1
STU00068,Mao Virak,CLS0225,M,2013-11-20,stu00068@school.edu.kh,86.9
STU00069,Doeun Seyha,CLS0049,M,2006-11-07,stu00069@school.edu.kh,61.7
STU00070,Keo Leakhena,CLS0140,F,2014-01-16,stu00070@school.edu.kh,91.6
STU00071,Heng Phearun,CLS0198,M,2008-01-28,stu00071@school.edu.kh,76.8
STU00072,Ith Sophy,CLS0042,F,2009-09-26,stu00072@school.edu.kh,60.3
STU00073,Khmer Bunna,CLS0103,M,2010-09-08,stu00073@school.edu.kh,87.9
STU00074,Khmer Daro,CLS0234,M,2007-05-29,stu00074@school.edu.kh,94.8
STU00075,Chou Seyha,CLS0245,M,2013-07-16,stu00075@school.edu.kh,62.4
STU00076,Khem Leakhena,CLS0161,F,2007-12-18,stu00076@school.edu.kh,79.9
STU00077,Sok Chanpich,CLS0341,F,2012-07-02,stu00077@school.edu.kh,69.3
STU00078,Chou Chanreaksmey,CLS0361,M,2012-12-28,stu00078@school.edu.kh,60.8
STU00079,Kong Chantrea,CLS0207,F,2007-03-29,stu00079@school.edu.kh,88.0
STU00080,Mouk Bopha,CLS0122,F,2010-11-17,stu00080@school.edu.kh,81.6
STU00081,Nget Chantrea,CLS0331,F,2012-05-28,stu00081@school.edu.kh,67.2
STU00082,Ros Chantrea,CLS0265,F,2008-07-15,stu00082@school.edu.kh,77.4
STU00083,Phan Menghour,CLS0192,M,2012-05-17,stu00083@school.edu.kh,70.6
STU00084,Pov Dara,CLS0456,M,2009-09-04,stu00084@school.edu.kh,66.5
STU00085,Pov Sreynich,CLS0282,F,2011-05-17,stu00085@school.edu.kh,84.5
STU00086,Chan Virak,CLS0401,M,2011-04-22,stu00086@school.edu.kh,71.3
STU00087,Ly Sophy,CLS0236,F,2011-03-28,stu00087@school.edu.kh,79.1
STU00088,Ith Bunna,CLS0165,M,2011-06-08,stu00088@school.edu.kh,80.0
STU00089,Kuy Kanha,CLS0425,F,2009-01-22,stu00089@school.edu.kh,72.8
STU00090,Vong Sokunthea,CLS0030,F,2010-11-14,stu00090@school.edu.kh,75.3
STU00091,Heng Socheata,CLS0498,F,2009-03-25,stu00091@school.edu.kh,85.4
STU00092,Prum Phary,CLS0114,M,2010-12-01,stu00092@school.edu.kh,79.2
STU00093,Ros Sreyleak,CLS0316,F,2013-05-21,stu00093@school.edu.kh,68.7
STU00094,Khmer Chanrith,CLS0091,M,2006-07-27,stu00094@school.edu.kh,80.2
STU00095,Noun Vatey,CLS0082,M,2012-10-21,stu00095@school.edu.kh,70.8
STU00096,Chou Sreymom,CLS0229,F,2011-01-13,stu00096@school.edu.kh,98.3
STU00097,Ear Chanrith,CLS0205,M,2013-07-03,stu00097@school.edu.kh,89.7
STU00098,Ly Chanpich,CLS0263,F,2006-03-27,stu00098@school.edu.kh,81.8
STU00099,Sorn Vuthy,CLS0296,M,2011-09-12,stu00099@school.edu.kh,67.8
STU00100,Pen Rathana,CLS0121,M,2014-01-13,stu00100@school.edu.kh,76.6
STU00101,Nhem Rithy,CLS0390,M,2008-11-28,stu00101@school.edu.kh,68.5
STU00102,Meas Chanthy,CLS0177,F,2013-12-07,stu00102@school.edu.kh,79.3
STU00103,Seng Vichea,CLS0397,M,2008-01-03,stu00103@school.edu.kh,90.3
STU00104,Khem Sokunthea,CLS0044,F,2010-06-16,stu00104@school.edu.kh,67.0
STU00105,Chhun Sreymab,CLS0486,F,2012-02-05,stu00105@school.edu.kh,71.4
STU00106,Doeun Chantha,CLS0307,M,2013-04-16,stu00106@school.edu.kh,88.1
STU00107,Nhem Reaksmey,CLS0080,F,2009-06-20,stu00107@school.edu.kh,79.2
STU00108,Sok Sokunthyda,CLS0356,F,2008-02-26,stu00108@school.edu.kh,65.1
STU00109,Seang Chantrea,CLS0405,F,2008-09-13,stu00109@school.edu.kh,75.8
STU00110,Sorn Sopheak,CLS0111,M,2012-12-24,stu00110@school.edu.kh,91.4
STU00111,Ear Sreyneang,CLS0255,F,2013-09-21,stu00111@school.edu.kh,98.5
STU00112,Seang Dara,CLS0275,M,2010-03-27,stu00112@school.edu.kh,78.2
STU00113,Ear Kunthea,CLS0491,F,2006-04-24,stu00113@school.edu.kh,69.5
STU00114,Seang Chanpich,CLS0467,F,2012-09-15,stu00114@school.edu.kh,95.9
STU00115,Him Sreynit,CLS0446,F,2008-04-25,stu00115@school.edu.kh,64.2
STU00116,Saom Rathana,CLS0193,M,2010-01-31,stu00116@school.edu.kh,64.2
STU00117,Kuy Daro,CLS0462,M,2010-11-24,stu00117@school.edu.kh,70.1
STU00118,Noun Borann,CLS0068,M,2009-06-27,stu00118@school.edu.kh,83.0
STU00119,Tep Boramey,CLS0070,F,2010-12-02,stu00119@school.edu.kh,71.9
STU00120,Ear Chanpich,CLS0044,F,2013-01-18,stu00120@school.edu.kh,89.3
STU00121,Chhun Sreynit,CLS0266,M,2011-02-10,stu00121@school.edu.kh,96.1
STU00122,Mao Sreymab,CLS0441,F,2008-04-09,stu00122@school.edu.kh,88.7
STU00123,Pov Sokunthyda,CLS0313,F,2013-07-07,stu00123@school.edu.kh,90.0
STU00124,Noun Sreynit,CLS0424,F,2012-02-03,stu00124@school.edu.kh,62.6
STU00125,Sorn Lina,CLS0321,F,2009-11-18,stu00125@school.edu.kh,98.6
STU00126,Vong Channary,CLS0147,F,2013-12-30,stu00126@school.edu.kh,67.7
STU00127,Chea Rathana,CLS0077,M,2008-02-09,stu00127@school.edu.kh,98.3
STU00128,Pen Sokha,CLS0126,M,2006-10-09,stu00128@school.edu.kh,86.1
STU00129,Noun Daro,CLS0220,M,2007-11-01,stu00129@school.edu.kh,64.1
STU00130,Lim Sokunthea,CLS0008,F,2010-01-03,stu00130@school.edu.kh,71.4
STU00131,Kong Chanreaksmey,CLS0416,M,2010-09-11,stu00131@school.edu.kh,72.4
STU00132,Phan Chanreaksmey,CLS0329,F,2010-02-17,stu00132@school.edu.kh,98.6
STU00133,Seng Dara,CLS0465,M,2007-10-24,stu00133@school.edu.kh,68.9
STU00134,Heng Sothea,CLS0428,M,2009-06-06,stu00134@school.edu.kh,62.9
STU00135,Nget Boramey,CLS0354,F,2012-08-25,stu00135@school.edu.kh,98.8
STU00136,Doeun Phary,CLS0268,M,2010-07-07,stu00136@school.edu.kh,90.4
STU00137,Sok Theany,CLS0273,F,2007-10-24,stu00137@school.edu.kh,96.5
STU00138,Oun Sophy,CLS0421,F,2007-04-14,stu00138@school.edu.kh,98.8
STU00139,Seang Chanthy,CLS0426,F,2011-06-18,stu00139@school.edu.kh,78.1
STU00140,Seng Sreynit,CLS0001,M,2011-02-09,stu00140@school.edu.kh,97.0
STU00141,Sar Chanpich,CLS0264,F,2008-07-19,stu00141@school.edu.kh,70.8
STU00142,Ros Chanreaksmey,CLS0370,M,2012-06-28,stu00142@school.edu.kh,68.6
STU00143,Chhun Bopha,CLS0362,F,2013-10-18,stu00143@school.edu.kh,64.0
STU00144,Prum Sreyla,CLS0368,F,2011-07-22,stu00144@school.edu.kh,80.5
STU00145,Mao Socheata,CLS0430,F,2010-09-09,stu00145@school.edu.kh,91.8
STU00146,Seng Sokha,CLS0493,M,2012-11-15,stu00146@school.edu.kh,98.9
STU00147,Mao Dara,CLS0335,M,2013-09-14,stu00147@school.edu.kh,66.2
STU00148,Touch Vichea,CLS0304,M,2010-07-19,stu00148@school.edu.kh,77.0
STU00149,Mouk Rathana,CLS0379,M,2014-02-02,stu00149@school.edu.kh,81.4
STU00150,Keo Bopha,CLS0351,F,2007-07-04,stu00150@school.edu.kh,63.1
STU00151,Kuy Pich,CLS0064,F,2006-09-29,stu00151@school.edu.kh,90.0
STU00152,Vong Phearun,CLS0094,M,2006-04-02,stu00152@school.edu.kh,84.1
STU00153,Kong Thida,CLS0335,M,2010-08-06,stu00153@school.edu.kh,61.5
STU00154,Prum Sokunthyda,CLS0077,F,2008-06-20,stu00154@school.edu.kh,82.6
STU00155,Hing Kimhour,CLS0496,M,2010-06-10,stu00155@school.edu.kh,95.0
STU00156,Chan Sarath,CLS0309,M,2009-05-17,stu00156@school.edu.kh,61.5
STU00157,Vong Bopha,CLS0003,F,2006-04-20,stu00157@school.edu.kh,89.4
STU00158,Him Vichea,CLS0212,M,2011-05-17,stu00158@school.edu.kh,61.4
STU00159,Kuy Socheata,CLS0007,F,2009-06-12,stu00159@school.edu.kh,61.6
STU00160,Sorn Rathana,CLS0368,M,2010-03-27,stu00160@school.edu.kh,66.9
STU00161,Saom Chanreaksmey,CLS0214,F,2013-06-16,stu00161@school.edu.kh,93.4
STU00162,Seang Chanreaksmey,CLS0320,F,2007-03-31,stu00162@school.edu.kh,76.8
STU00163,Seang Rith,CLS0168,M,2011-06-26,stu00163@school.edu.kh,75.2
STU00164,Oun Vatey,CLS0409,M,2011-12-22,stu00164@school.edu.kh,78.7
STU00165,Kuy Dina,CLS0278,F,2007-01-12,stu00165@school.edu.kh,68.4
STU00166,Ith Chanrith,CLS0039,M,2012-05-02,stu00166@school.edu.kh,61.4
STU00167,Oun Lina,CLS0210,F,2008-11-18,stu00167@school.edu.kh,73.0
STU00168,Hing Chantha,CLS0300,M,2006-08-28,stu00168@school.edu.kh,94.4
STU00169,Ly Sreyleak,CLS0373,F,2012-10-09,stu00169@school.edu.kh,97.5
STU00170,Meas Channara,CLS0058,M,2008-11-27,stu00170@school.edu.kh,66.3
STU00171,Chea Leakhena,CLS0480,F,2010-10-31,stu00171@school.edu.kh,90.0
STU00172,Ros Sreyla,CLS0361,F,2008-11-01,stu00172@school.edu.kh,62.4
STU00173,Sok Kunthea,CLS0426,F,2013-11-22,stu00173@school.edu.kh,83.4
STU00174,Sok Borath,CLS0434,M,2006-08-22,stu00174@school.edu.kh,98.8
STU00175,Tep Samnang,CLS0250,M,2006-04-24,stu00175@school.edu.kh,81.2
STU00176,Chhun Boramey,CLS0469,F,2006-09-11,stu00176@school.edu.kh,62.6
STU00177,Keo Rith,CLS0081,M,2010-11-14,stu00177@school.edu.kh,87.6
STU00178,Kong Sovann,CLS0184,M,2009-01-23,stu00178@school.edu.kh,82.7
STU00179,Meas Kimhour,CLS0337,M,2013-07-14,stu00179@school.edu.kh,93.7
STU00180,Ros Reaksmey,CLS0477,F,2007-10-09,stu00180@school.edu.kh,88.5
STU00181,Ly Sreymab,CLS0446,F,2010-09-19,stu00181@school.edu.kh,68.6
STU00182,Phan Seyha,CLS0397,M,2013-05-16,stu00182@school.edu.kh,68.7
STU00183,Seang Sokunthyda,CLS0126,F,2010-12-05,stu00183@school.edu.kh,85.8
STU00184,Nhem Pich,CLS0433,F,2007-12-03,stu00184@school.edu.kh,69.8
STU00185,Ear Borann,CLS0245,M,2007-04-02,stu00185@school.edu.kh,63.8
STU00186,Chea Kolab,CLS0213,F,2009-09-22,stu00186@school.edu.kh,73.8
STU00187,Pen Socheata,CLS0493,F,2009-12-05,stu00187@school.edu.kh,96.8
STU00188,Chou Daro,CLS0034,M,2009-06-13,stu00188@school.edu.kh,77.5
STU00189,Him Phary,CLS0389,M,2007-08-16,stu00189@school.edu.kh,95.3
STU00190,Oun Sokhom,CLS0207,M,2008-07-07,stu00190@school.edu.kh,75.0
STU00191,Nget Sambath,CLS0224,M,2006-12-10,stu00191@school.edu.kh,74.9
STU00192,Phan Bopha,CLS0491,F,2013-08-21,stu00192@school.edu.kh,79.1
STU00193,Ith Sophy,CLS0034,F,2009-12-02,stu00193@school.edu.kh,86.0
STU00194,Vong Sreymab,CLS0353,F,2009-10-18,stu00194@school.edu.kh,79.8
STU00195,Tep Piseth,CLS0105,M,2007-04-04,stu00195@school.edu.kh,85.3
STU00196,Chou Sophal,CLS0366,M,2009-03-26,stu00196@school.edu.kh,99.3
STU00197,Saom Sothea,CLS0210,M,2006-09-03,stu00197@school.edu.kh,99.1
STU00198,Nhem Theany,CLS0374,F,2010-10-03,stu00198@school.edu.kh,73.2
STU00199,Lim Sreypov,CLS0251,F,2007-11-27,stu00199@school.edu.kh,76.3
STU00200,Phat Leakhena,CLS0408,F,2013-10-29,stu00200@school.edu.kh,63.0
STU00201,Seang Chanreaksmey,CLS0176,M,2008-03-29,stu00201@school.edu.kh,99.7
STU00202,Sok Chantha,CLS0385,M,2009-05-26,stu00202@school.edu.kh,70.2
STU00203,Ly Bunna,CLS0189,M,2013-08-03,stu00203@school.edu.kh,65.0
STU00204,Ros Nara,CLS0458,M,2006-06-28,stu00204@school.edu.kh,64.6
STU00205,Phan Seyha,CLS0447,M,2009-04-29,stu00205@school.edu.kh,86.7
STU00206,Sok Sreyla,CLS0389,F,2012-01-09,stu00206@school.edu.kh,68.5
STU00207,Nget Reaksmey,CLS0263,F,2013-06-25,stu00207@school.edu.kh,72.3
STU00208,Chhun Lina,CLS0333,F,2010-11-19,stu00208@school.edu.kh,93.4
STU00209,Touch Sambath,CLS0268,M,2006-08-07,stu00209@school.edu.kh,87.8
STU00210,Oun Sarath,CLS0390,M,2009-09-03,stu00210@school.edu.kh,84.9
STU00211,Keo Sreyla,CLS0058,F,2011-07-09,stu00211@school.edu.kh,76.3
STU00212,Oun Kolab,CLS0019,F,2009-12-13,stu00212@school.edu.kh,62.6
STU00213,Ear Dara,CLS0425,M,2007-11-03,stu00213@school.edu.kh,81.2
STU00214,Kuy Thida,CLS0275,M,2011-01-15,stu00214@school.edu.kh,63.3
STU00215,Meas Borann,CLS0267,M,2013-03-14,stu00215@school.edu.kh,94.0
STU00216,Seang Phirun,CLS0126,M,2012-01-30,stu00216@school.edu.kh,69.2
STU00217,Keo Sophal,CLS0258,M,2008-06-29,stu00217@school.edu.kh,86.2
STU00218,Sar Reaksmey,CLS0091,F,2013-01-09,stu00218@school.edu.kh,70.2
STU00219,Phan Sokha,CLS0481,M,2009-12-10,stu00219@school.edu.kh,83.8
STU00220,Ith Seyha,CLS0123,M,2006-09-17,stu00220@school.edu.kh,81.3
STU00221,Nhem Vatey,CLS0342,M,2012-01-13,stu00221@school.edu.kh,83.5
STU00222,Sok Vatey,CLS0186,M,2012-07-02,stu00222@school.edu.kh,87.3
STU00223,Lim Dara,CLS0244,M,2012-05-22,stu00223@school.edu.kh,65.3
STU00224,Pen Sokunthyda,CLS0268,F,2013-12-10,stu00224@school.edu.kh,84.3
STU00225,Prum Sreypov,CLS0090,F,2007-09-22,stu00225@school.edu.kh,80.6
STU00226,Chan Channary,CLS0157,F,2006-05-13,stu00226@school.edu.kh,70.3
STU00227,Keo Sreynit,CLS0241,F,2010-09-24,stu00227@school.edu.kh,69.2
STU00228,Meas Sreypov,CLS0218,F,2008-07-19,stu00228@school.edu.kh,78.8
STU00229,Oun Sokha,CLS0266,M,2012-05-20,stu00229@school.edu.kh,79.8
STU00230,Ith Sreymab,CLS0253,F,2010-08-21,stu00230@school.edu.kh,61.9
STU00231,Vong Leakhena,CLS0013,F,2010-09-30,stu00231@school.edu.kh,93.2
STU00232,Nhem Sokhom,CLS0462,M,2008-08-28,stu00232@school.edu.kh,67.4
STU00233,Ith Dalin,CLS0045,F,2013-08-28,stu00233@school.edu.kh,90.0
STU00234,Sar Sreynich,CLS0146,F,2013-10-19,stu00234@school.edu.kh,84.2
STU00235,Ros Rathana,CLS0309,M,2012-09-23,stu00235@school.edu.kh,76.7
STU00236,Nhem Chantrea,CLS0339,F,2010-08-17,stu00236@school.edu.kh,88.5
STU00237,Yem Dina,CLS0336,F,2008-06-29,stu00237@school.edu.kh,87.7
STU00238,Ear Pich,CLS0207,F,2006-07-26,stu00238@school.edu.kh,66.0
STU00239,Phan Pich,CLS0202,F,2012-11-18,stu00239@school.edu.kh,64.7
STU00240,Sar Sokunmony,CLS0484,F,2011-06-11,stu00240@school.edu.kh,75.5
STU00241,Keo Rithy,CLS0167,M,2007-11-15,stu00241@school.edu.kh,73.4
STU00242,Khmer Sokunmony,CLS0190,F,2013-06-11,stu00242@school.edu.kh,85.9
STU00243,Saom Rith,CLS0229,M,2007-12-18,stu00243@school.edu.kh,95.5
STU00244,Chou Sophary,CLS0121,F,2006-05-27,stu00244@school.edu.kh,81.0
STU00245,Sar Sopheak,CLS0258,M,2011-05-29,stu00245@school.edu.kh,70.8
STU00246,Heng Sokhom,CLS0335,M,2007-09-05,stu00246@school.edu.kh,66.1
STU00247,Ith Sreymab,CLS0500,F,2007-01-20,stu00247@school.edu.kh,72.2
STU00248,Ith Chanreaksmey,CLS0319,M,2008-01-22,stu00248@school.edu.kh,64.9
STU00249,Keo Chanreaksmey,CLS0380,F,2007-11-06,stu00249@school.edu.kh,90.6
STU00250,Pen Phary,CLS0417,M,2010-01-15,stu00250@school.edu.kh,60.3
STU00251,Mouk Dalin,CLS0266,F,2009-09-21,stu00251@school.edu.kh,76.2
STU00252,Ear Nara,CLS0271,M,2010-12-23,stu00252@school.edu.kh,81.5
STU00253,Khem Rith,CLS0277,M,2012-02-07,stu00253@school.edu.kh,68.8
STU00254,Touch Sophal,CLS0151,M,2011-12-10,stu00254@school.edu.kh,82.0
STU00255,Oun Menghour,CLS0300,M,2007-04-21,stu00255@school.edu.kh,94.6
STU00256,Noun Bunna,CLS0148,M,2014-02-06,stu00256@school.edu.kh,76.9
STU00257,Pov Channara,CLS0188,M,2011-05-12,stu00257@school.edu.kh,79.0
STU00258,Ith Sreypich,CLS0445,F,2010-07-20,stu00258@school.edu.kh,65.8
STU00259,Sar Kanha,CLS0174,F,2010-11-14,stu00259@school.edu.kh,75.4
STU00260,Nget Thida,CLS0308,M,2010-07-12,stu00260@school.edu.kh,85.5
STU00261,Heng Sreyleak,CLS0171,F,2007-08-26,stu00261@school.edu.kh,93.6
STU00262,Him Leakhena,CLS0051,F,2012-08-02,stu00262@school.edu.kh,99.9
STU00263,Lim Sreymom,CLS0256,F,2011-06-03,stu00263@school.edu.kh,98.9
STU00264,Noun Theara,CLS0323,M,2011-10-22,stu00264@school.edu.kh,70.7
STU00265,Seang Chanpich,CLS0281,F,2007-03-08,stu00265@school.edu.kh,70.5
STU00266,Doeun Phirun,CLS0093,M,2008-10-20,stu00266@school.edu.kh,63.5
STU00267,Keo Sreyneang,CLS0360,F,2012-04-19,stu00267@school.edu.kh,80.4
STU00268,Seang Seyha,CLS0425,M,2009-01-30,stu00268@school.edu.kh,73.0
STU00269,Ros Chanrith,CLS0103,M,2008-11-28,stu00269@school.edu.kh,87.4
STU00270,Ros Sarath,CLS0465,M,2010-04-24,stu00270@school.edu.kh,70.9
STU00271,Sar Sarath,CLS0163,M,2012-07-24,stu00271@school.edu.kh,94.3
STU00272,Ros Sothea,CLS0461,M,2006-05-28,stu00272@school.edu.kh,70.8
STU00273,Lim Sreynich,CLS0289,F,2010-11-08,stu00273@school.edu.kh,93.8
STU00274,Touch Channary,CLS0243,F,2010-04-16,stu00274@school.edu.kh,73.4
STU00275,Saom Sovann,CLS0472,M,2009-12-14,stu00275@school.edu.kh,96.0
STU00276,Mouk Samnang,CLS0429,M,2012-08-18,stu00276@school.edu.kh,84.1
STU00277,Ly Samnang,CLS0066,M,2013-02-26,stu00277@school.edu.kh,92.2
STU00278,Chhun Sreynich,CLS0135,F,2008-06-26,stu00278@school.edu.kh,98.4
STU00279,Hing Samnang,CLS0313,M,2008-10-29,stu00279@school.edu.kh,84.7
STU00280,Phan Sreytouch,CLS0423,F,2012-10-12,stu00280@school.edu.kh,92.9
STU00281,Khem Pich,CLS0408,F,2006-05-11,stu00281@school.edu.kh,61.0
STU00282,Noun Leakhena,CLS0202,F,2011-08-10,stu00282@school.edu.kh,91.4
STU00283,Chea Kimhour,CLS0202,M,2007-09-13,stu00283@school.edu.kh,60.3
STU00284,Phat Kanha,CLS0075,F,2013-09-25,stu00284@school.edu.kh,72.5
STU00285,Sar Menghour,CLS0284,M,2006-06-01,stu00285@school.edu.kh,91.4
STU00286,Khem Borann,CLS0216,M,2011-11-28,stu00286@school.edu.kh,84.9
STU00287,Nhem Sreynich,CLS0461,F,2011-06-04,stu00287@school.edu.kh,97.1
STU00288,Sorn Socheata,CLS0260,F,2007-12-28,stu00288@school.edu.kh,97.5
STU00289,Saom Sreyneang,CLS0023,F,2014-02-27,stu00289@school.edu.kh,71.7
STU00290,Saom Rathana,CLS0162,M,2014-02-25,stu00290@school.edu.kh,65.4
STU00291,Noun Chanreaksmey,CLS0266,F,2009-03-03,stu00291@school.edu.kh,78.7
STU00292,Ros Kosal,CLS0021,M,2013-07-30,stu00292@school.edu.kh,92.2
STU00293,Khmer Chantha,CLS0060,M,2008-07-22,stu00293@school.edu.kh,84.7
STU00294,Sar Sokha,CLS0324,M,2008-02-06,stu00294@school.edu.kh,98.9
STU00295,Phat Samnang,CLS0038,M,2010-02-05,stu00295@school.edu.kh,88.6
STU00296,Kuy Sokun,CLS0109,M,2008-04-23,stu00296@school.edu.kh,63.1
STU00297,Sorn Sreymab,CLS0030,F,2013-08-28,stu00297@school.edu.kh,72.7
STU00298,Yem Menghour,CLS0485,M,2012-06-13,stu00298@school.edu.kh,62.2
STU00299,Ros Phirun,CLS0480,M,2007-04-06,stu00299@school.edu.kh,71.5
STU00300,Nhem Channara,CLS0470,M,2010-12-10,stu00300@school.edu.kh,89.1
STU00301,Khem Channary,CLS0295,F,2009-08-20,stu00301@school.edu.kh,89.3
STU00302,Chhun Vuthy,CLS0129,M,2012-05-21,stu00302@school.edu.kh,83.8
STU00303,Noun Phary,CLS0390,M,2006-11-22,stu00303@school.edu.kh,72.6
STU00304,Kuy Rithy,CLS0316,M,2011-12-19,stu00304@school.edu.kh,69.6
STU00305,Prum Dara,CLS0063,M,2006-10-09,stu00305@school.edu.kh,71.0
STU00306,Hing Kolab,CLS0178,F,2006-12-05,stu00306@school.edu.kh,66.1
